n,group,wall_s_sum,cpu_total_s_sum,cpu_user_s_sum,cpu_sys_s_sum,rss_peak_bytes_sum,io_read_bytes_sum,io_write_bytes_sum,io_rchar_bytes_sum,io_wchar_bytes_sum,sys_cpu_iowait_s_sum
1,compile,5.458476482000151,2.0848439999999995,1.4133209999999998,0.6715229999999996,213368832.0,5537792.0,0.0,7535929.0,1852.0,0.030000000000001137
1,ptau,26.313590423001187,22.583967,17.508902,5.075065,301621248.0,50372608.0,0.0,43719174.0,1269389.0,0.14000000000000057
1,zkey,27.43669912400037,16.612291,11.775463000000002,4.836828,232337408.0,0.0,0.0,48278482.0,705927.0,0.0
2,compile,5.419553485999131,2.4551429999999996,1.5024540000000002,0.9526889999999995,161902592.0,0.0,0.0,7614603.0,106299.0,0.0
2,ptau,26.493558819998725,31.042954999999996,26.231167999999997,4.811786999999999,314159104.0,0.0,0.0,45485149.0,2027253.0,0.00999999999999801
2,zkey,27.504258108999238,18.44987100000001,13.656107000000006,4.793764000000003,247562240.0,0.0,0.0,50183432.0,1153206.0,0.0
4,compile,5.703417910000098,2.534856000000005,1.6868780000000072,0.8479779999999977,143441920.0,0.0,0.0,7650277.0,100420.0,0.0
4,ptau,28.869700552999348,49.750828000000006,44.379148,5.371680000000001,326459392.0,0.0,0.0,49621691.0,4331438.0,0.00999999999999801
4,zkey,28.940054047000558,23.49275399999999,18.08269899999999,5.410055,235819008.0,0.0,0.0,53217532.0,1964369.0,0.0
8,compile,5.729370199000186,2.378464000000008,1.6964120000000094,0.6820519999999988,213061632.0,0.0,0.0,7904190.0,310807.0,0.0
8,ptau,32.940185951000785,89.95819199999997,84.42572299999998,5.532468999999999,385490944.0,0.0,0.0,52729424.0,6371016.0,0.0
8,zkey,29.99689973599834,29.915014000000006,24.828721,5.086293000000005,294879232.0,0.0,0.0,59141517.0,4911147.0,0.0
16,compile,5.725821686000927,2.536176999999995,1.7288139999999999,0.8073629999999952,207126528.0,0.0,0.0,8267387.0,345896.0,0.0
16,ptau,40.38412703799986,173.65133300000005,167.60380000000004,6.047533000000001,486109184.0,0.0,0.0,66717894.0,14454232.0,0.0
16,zkey,31.77253637300055,45.554498999999964,40.389445999999964,5.165053,357068800.0,0.0,0.0,72899580.0,9725572.0,0.0
32,compile,6.195058514998891,2.712754000000004,1.9010250000000042,0.8117289999999997,235147264.0,0.0,0.0,9081300.0,1008119.0,0.0
32,ptau,57.5025501709988,358.20457899999997,351.810472,6.394107000000005,632152064.0,0.0,0.0,97949749.0,29094884.0,0.010000000000005116
32,zkey,37.65435745599734,80.42967200000002,74.47779300000002,5.951879000000005,442114048.0,0.0,0.0,97588843.0,33003877.0,0.0
64,compile,6.902842793000673,3.221097999999955,2.4144619999999577,0.8066359999999975,233103360.0,0.0,0.0,10624932.0,4709996.0,0.0
64,ptau,93.90420946599897,764.185386,755.6373600000001,8.548025999999993,871350272.0,0.0,0.0,158088651.0,58407933.0,0.00999999999999801
64,zkey,47.78269746899878,150.6271959999999,143.72375799999986,6.903438000000008,598872064.0,0.0,0.0,260392822.0,72745736.0,0.0
128,compile,8.082372383998518,3.9937880000000803,3.1159640000000763,0.8778240000000039,267325440.0,0.0,0.0,13702490.0,9487169.0,0.0
128,ptau,160.03770210999937,1545.1160619999996,1535.4223039999997,9.693758000000003,1012555776.0,0.0,0.0,273851584.0,119280558.0,0.010000000000005116
128,zkey,63.49190983600056,291.7216740000003,283.03552800000034,8.686145999999994,844410880.0,0.0,0.0,470409312.0,138872703.0,0.0
