n,phase,prover,n_reps,ok,wall_s_mean,wall_s_min,wall_s_max,wall_s_stdev,cpu_total_s_mean,cpu_total_s_min,cpu_total_s_max,cpu_total_s_stdev,cpu_user_s_mean,cpu_user_s_min,cpu_user_s_max,cpu_user_s_stdev,cpu_sys_s_mean,cpu_sys_s_min,cpu_sys_s_max,cpu_sys_s_stdev,rss_peak_bytes_mean,rss_peak_bytes_min,rss_peak_bytes_max,rss_peak_bytes_stdev,io_read_bytes_mean,io_read_bytes_min,io_read_bytes_max,io_read_bytes_stdev,io_write_bytes_mean,io_write_bytes_min,io_write_bytes_max,io_write_bytes_stdev,io_rchar_bytes_mean,io_rchar_bytes_min,io_rchar_bytes_max,io_rchar_bytes_stdev,io_wchar_bytes_mean,io_wchar_bytes_min,io_wchar_bytes_max,io_wchar_bytes_stdev,sys_cpu_iowait_s_mean,sys_cpu_iowait_s_min,sys_cpu_iowait_s_max,sys_cpu_iowait_s_stdev,cpu_pct_of_core
1,env,,1,True,59.20876602900171,59.20876602900171,59.20876602900171,0.0,41.281102000000004,41.281102000000004,41.281102000000004,0.0,30.697686,30.697686,30.697686,0.0,10.583416,10.583416,10.583416,0.0,301621248.0,301621248.0,301621248.0,0.0,55910400.0,55910400.0,55910400.0,0.0,0.0,0.0,0.0,0.0,99533585.0,99533585.0,99533585.0,0.0,1977168.0,1977168.0,1977168.0,0.0,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.0,69.72126725252076
1,prove,rapidsnark,2,True,2.2965622414999416,2.283094159999564,2.310030323000319,0.013468081500377593,0.547732999993018,0.535314999998258,0.5601509999877781,0.01241799999476001,0.1855569999999993,0.17351000000000028,0.19760399999999834,0.01204699999999903,0.2011510000000003,0.19327999999999967,0.20902200000000093,0.007871000000000627,67291136.0,67170304.0,67411968.0,120832.0,126976.0,0.0,253952.0,126976.0,0.0,0.0,0.0,0.0,3070261.0,3066460.0,3074062.0,3801.0,1148.0,1148.0,1148.0,0.0,0.0,0.0,0.0,0.0,23.850126510626602
1,prove,snarkjs,2,True,3.1497192555002584,3.114181386999917,3.1852571240006,0.035537868500341574,1.544901499999999,1.5418080000000014,1.5479949999999967,0.00309349999999764,1.0651509999999984,1.0450559999999953,1.0852460000000015,0.020095000000003083,0.47975050000000063,0.4565619999999999,0.5029390000000014,0.023188500000000722,219721728.0,219668480.0,219774976.0,53248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4464929.5,4451706.0,4478153.0,13223.5,11108.0,11108.0,11108.0,0.0,0.0,0.0,0.0,0.0,49.04886355513066
1,verify,rapidsnark,2,True,2.4209804310003165,2.415104390000124,2.426856472000509,0.005876041000192345,1.4783785000000016,1.4780200000000043,1.4787369999999989,0.0003584999999972638,1.0058095000000016,0.9793039999999991,1.032315000000004,0.026505500000002513,0.472569,0.44570500000000024,0.4994329999999998,0.026863999999999777,189448192.0,182046720.0,196849664.0,7401472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4120750.0,4106657.0,4134843.0,14093.0,548.0,508.0,588.0,40.0,0.0,0.0,0.0,0.0,61.065280870079384
1,verify,snarkjs,2,True,2.371922801999972,2.3437065719999737,2.40013903199997,0.028216229999998177,1.3613930000000005,1.3376900000000003,1.3850960000000008,0.02370300000000025,0.905857000000001,0.8824070000000006,0.9293070000000014,0.023450000000000415,0.4555359999999995,0.45528299999999966,0.45578899999999933,0.0002529999999998367,184637440.0,162201600.0,207073280.0,22435840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4223832.5,4165559.0,4282106.0,58273.5,3484.0,1076.0,5892.0,2408.0,0.0,0.0,0.0,0.0,57.39617658939377
2,env,,1,True,59.417370414997094,59.417370414997094,59.417370414997094,0.0,51.947969000000015,51.947969000000015,51.947969000000015,0.0,41.389729,41.389729,41.389729,0.0,10.558240000000001,10.558240000000001,10.558240000000001,0.0,314159104.0,314159104.0,314159104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103283184.0,103283184.0,103283184.0,0.0,3286758.0,3286758.0,3286758.0,0.0,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0,87.42892631762817
2,prove,rapidsnark,2,True,2.254811717499706,2.2368205529992338,2.272802882000178,0.017991164500472223,0.5287010000014583,0.513556000004666,0.5438459999982506,0.015144999996792308,0.17971649999999784,0.17331800000000896,0.1861149999999867,0.006398499999988871,0.218493500000001,0.20560299999999998,0.23138400000000203,0.012890500000001026,67596288.0,67559424.0,67633152.0,36864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094130.0,3065569.0,3122691.0,28561.0,6406.0,1148.0,11664.0,5258.0,0.0,0.0,0.0,0.0,23.4476783980757
2,prove,snarkjs,2,True,3.15557220699975,3.1434871159999602,3.16765729799954,0.012085090999789827,1.5796029999999988,1.555533000000004,1.6036729999999935,0.024069999999994707,1.0978390000000005,1.0747570000000053,1.1209209999999956,0.023081999999995162,0.4817639999999983,0.48077599999999876,0.48275199999999785,0.0009879999999995448,227665920.0,227610624.0,227721216.0,55296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4632678.0,4612477.0,4652879.0,20201.0,11673.0,11584.0,11762.0,89.0,0.0,0.0,0.0,0.0,50.05757740216159
2,verify,rapidsnark,2,True,2.39935473550031,2.387505405000411,2.4112040660002094,0.011849330499899224,1.3874805000000023,1.3810769999999977,1.393884000000007,0.006403500000004669,0.9829330000000027,0.9622150000000005,1.003651000000005,0.020718000000002235,0.4045474999999996,0.39023300000000205,0.4188619999999972,0.014314499999997565,204449792.0,198721536.0,210178048.0,5728256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4198694.0,4193989.0,4203399.0,4705.0,1072.0,804.0,1340.0,268.0,0.0,0.0,0.0,0.0,57.827234942426585
2,verify,snarkjs,2,True,2.3542640440005016,2.3409660360002817,2.3675620520007215,0.013298008000219852,1.3453744999999966,1.3176029999999983,1.3731459999999949,0.027771499999998284,0.953900499999996,0.9302969999999959,0.9775039999999962,0.02360350000000011,0.39147400000000054,0.38730600000000237,0.3956419999999987,0.004167999999998173,183465984.0,153161728.0,213770240.0,30304256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4207812.5,4191844.0,4223781.0,15968.5,4720.0,3484.0,5956.0,1236.0,0.0,0.0,0.0,0.0,57.14628753849795
