n,group,wall_s_sum,cpu_total_s_sum,cpu_user_s_sum,cpu_sys_s_sum,rss_peak_bytes_sum,io_read_bytes_sum,io_write_bytes_sum,io_rchar_bytes_sum,io_wchar_bytes_sum,sys_cpu_iowait_s_sum
1,compile,2.117347593999966,3.4124799999999995,3.038449,0.37403099999999956,178638848.0,0.0,0.0,4645565.0,362526.0,0.0
1,ptau,15.85827145500025,46.70930200000001,42.232283,4.477019,245399552.0,0.0,0.0,23303218.0,1517389.0,0.00999999999999801
1,zkey,12.65868687000011,30.239537000000002,25.681067,4.558470000000001,205279232.0,0.0,0.0,25853764.0,1265629.0,0.0
2,compile,2.0038621620001322,3.389706000000011,2.9611240000000123,0.4285819999999987,179630080.0,0.0,0.0,4699012.0,399896.0,0.0
2,ptau,20.947878929999888,75.99206399999998,71.04834199999999,4.943722000000001,246001664.0,0.0,0.0,25569111.0,2530057.0,0.0
2,zkey,13.998308097000063,36.18721699999998,31.672635999999983,4.514581,211673088.0,0.0,0.0,27719564.0,2487163.0,0.0
4,compile,2.0520221990004757,3.166930000000015,2.766430000000014,0.40050000000000097,180252672.0,0.0,0.0,4807453.0,608850.0,0.0
4,ptau,29.75145312699965,125.90415199999998,119.691364,6.212788,253943808.0,0.0,0.0,29333208.0,4492217.0,0.0
4,zkey,14.211764099999982,39.23979099999996,35.77261999999996,3.4671710000000004,235597824.0,0.0,0.0,31160444.0,5159667.0,0.0
8,compile,2.7483813740004734,4.431691000000008,3.9006650000000036,0.5310260000000042,190283776.0,0.0,0.0,5016027.0,931422.0,0.0
8,ptau,89.61438220300124,444.68972400000007,430.3788420000001,14.310882,300052480.0,0.0,0.0,36508816.0,8303601.0,0.0
8,zkey,25.9786861890002,89.74389299999999,84.735323,5.008569999999992,264650752.0,0.0,0.0,37995653.0,10039777.0,0.0
16,compile,2.5097388519998276,3.7234449999999697,3.478264999999965,0.24518000000000484,200818688.0,0.0,0.0,5426953.0,1574473.0,0.0
16,ptau,108.45242347700014,598.592558,583.450611,15.141947000000002,367144960.0,0.0,0.0,50956600.0,15846378.0,0.01999999999999602
16,zkey,30.248052977999123,113.33733200000012,108.83888300000012,4.498448999999994,315817984.0,0.0,0.0,51371876.0,18778776.0,0.0
32,compile,3.03075665400047,4.43747900000011,3.7895840000001044,0.6478950000000054,218251264.0,0.0,0.0,6242352.0,2855031.0,0.0
32,ptau,192.93680752000046,1145.052414,1127.945938,17.106476,487002112.0,0.0,0.0,80101464.0,30945005.0,0.0
32,zkey,52.683484911999585,230.8264049999997,223.35831299999973,7.468091999999999,406171648.0,0.0,0.0,78113328.0,38187899.0,0.0
64,compile,4.635866377999264,6.108247000000205,5.339436000000205,0.7688109999999995,223723520.0,0.0,0.0,7866642.0,5417054.0,0.0
64,ptau,321.59671117399876,1916.3066630000003,1901.0900550000001,15.216608000000008,542519296.0,0.0,0.0,138337792.0,60903088.0,0.0
64,zkey,84.21428166799933,349.66648399999974,342.87324199999966,6.793241999999992,488562688.0,0.0,0.0,238643482.0,77078965.0,0.0
