t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,994299904,0,0
0.1008,51441664,0.0500,49.60,0,0,1,6.82,0.00,1009987584,0,0
0.2018,54194176,0.0700,19.79,0,0,1,1.86,0.00,1012797440,0,0
0.3026,56029184,0.0900,19.85,0,0,1,0.62,0.00,1013829632,0,0
0.4033,60485632,0.1100,19.85,0,0,1,1.24,0.00,1014345728,0,0
0.5040,60878848,0.1200,9.93,0,0,1,2.48,0.00,1012596736,0,0
0.6048,61534208,0.1300,9.93,0,0,1,25.44,0.00,1034956800,0,0
0.7069,61927424,0.1500,19.58,0,0,1,0.61,0.00,1034797056,0,0
0.8077,62058496,0.1600,9.92,0,0,1,1.86,0.00,1035313152,0,0
0.9084,62713856,0.1700,9.93,0,0,1,2.48,0.00,1035837440,0,0
1.0095,63238144,0.1900,19.78,0,0,1,1.85,0.00,1036353536,0,0
1.1107,64286720,0.2000,9.89,0,0,1,2.47,0.00,1037115392,0,0
1.2117,64286720,0.2100,9.90,0,0,1,1.24,0.00,1037877248,0,0
1.3127,64548864,0.2300,19.80,0,0,1,3.71,0.00,1037877248,0,0
1.4135,64679936,0.2300,0.00,0,0,1,1.86,0.00,1037877248,0,0
1.5144,65597440,0.2500,19.82,0,0,1,4.95,0.00,1038909440,0,0
1.6153,65990656,0.2700,19.82,0,0,1,1.86,0.00,1039413248,0,0
1.7161,66383872,0.2800,9.92,0,0,1,1.86,0.00,1039937536,0,0
1.8170,66777088,0.2900,9.91,0,0,1,4.34,0.00,1040453632,0,0
1.9180,67170304,0.3000,9.91,0,0,1,4.95,0.00,1040986112,0,0
2.0187,67432448,0.3100,9.92,0,0,1,3.10,0.00,1041227776,0,0
2.0821,0,0.3100,0.00,0,0,0,5.91,0.00,1023258624,0,0
