t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1031737344,0,0
0.1004,51568640,0.0500,49.80,0,0,1,6.85,0.00,1016463360,0,0
0.2015,54190080,0.0700,19.79,0,0,1,2.47,0.00,1019502592,0,0
0.3023,55894016,0.0900,19.84,0,0,1,3.72,0.00,1020522496,0,0
0.4030,60350464,0.1100,19.85,0,0,1,1.86,0.00,1021550592,0,0
0.5038,60743680,0.1200,9.93,0,0,1,1.24,0.00,1021550592,0,0
0.6047,61399040,0.1300,9.91,0,0,1,2.48,0.00,1022066688,0,0
0.7056,62054400,0.1400,9.91,0,0,1,2.48,0.00,1022840832,0,0
0.8063,62054400,0.1600,19.85,0,0,1,1.24,0.00,1023356928,0,0
0.9070,62840832,0.1700,9.93,0,0,1,2.48,0.00,1023873024,0,0
1.0079,63496192,0.1900,19.83,0,0,1,1.86,0.00,1024389120,0,0
1.1090,64544768,0.2000,9.90,0,0,1,14.22,0.00,1024798720,0,0
1.2099,64544768,0.2100,9.91,0,0,1,3.10,0.00,1025056768,0,0
1.3109,64675840,0.2200,9.89,0,0,1,3.71,0.00,1025056768,0,0
1.4117,64675840,0.2300,9.92,0,0,1,1.86,0.00,1025572864,0,0
1.5126,65724416,0.2500,19.81,0,0,1,2.48,0.00,1026605056,0,0
1.6134,66248704,0.2600,9.92,0,0,1,1.86,0.00,1027121152,0,0
1.7145,66510848,0.2700,9.89,0,0,1,1.86,0.00,1027637248,0,0
1.8152,67166208,0.2900,19.85,0,0,1,3.10,0.00,1028153344,0,0
1.9161,67297280,0.3000,9.92,0,0,1,2.48,0.00,1028669440,0,0
2.0169,68739072,0.3200,19.85,0,0,1,2.48,0.00,1029185536,0,0
2.1177,84860928,0.4800,158.63,0,0,1,11.15,0.00,1044152320,0,0
2.2187,208322560,1.1300,643.72,0,0,1,40.85,0.00,1152348160,0,0
2.3042,0,1.1300,0.00,0,0,0,11.69,0.00,1031335936,0,0
