t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1005301760,0,0
0.1006,51564544,0.0500,49.73,0,0,1,5.59,0.00,1019478016,0,0
0.2016,54185984,0.0700,19.78,0,0,1,1.24,0.00,1021370368,0,0
0.3024,55889920,0.1000,29.77,0,0,1,3.10,0.00,1022402560,0,0
0.4031,60346368,0.1100,9.93,0,0,1,3.10,0.00,1023156224,0,0
0.5041,60739584,0.1200,9.90,0,0,1,1.86,0.00,1023401984,0,0
0.6048,61263872,0.1300,9.93,0,0,1,2.48,0.00,1023660032,0,0
0.7058,61788160,0.1400,9.91,0,0,1,1.86,0.00,1024667648,0,0
0.8065,61919232,0.1500,9.93,0,0,1,1.24,0.00,1024667648,0,0
0.9074,62443520,0.1700,19.83,0,0,1,2.48,0.00,1025441792,0,0
1.0081,63098880,0.1800,9.93,0,0,1,1.86,0.00,1026469888,0,0
1.1089,64409600,0.1900,9.92,0,0,1,5.58,0.00,1028268032,0,0
1.2099,64409600,0.2200,29.70,0,0,1,2.47,0.00,1028268032,0,0
1.3109,64409600,0.2300,9.90,0,0,1,2.48,0.00,1028268032,0,0
1.4116,65064960,0.2300,0.00,0,0,1,3.10,0.00,1029046272,0,0
1.5126,65720320,0.2500,19.81,0,0,1,2.48,0.00,1030033408,0,0
1.6136,66244608,0.2600,9.89,0,0,1,3.09,0.00,1030549504,0,0
1.7146,66506752,0.2800,19.80,0,0,1,3.09,0.00,1024712704,0,0
1.8153,67162112,0.2900,9.93,0,0,1,1.86,0.00,1024970752,0,0
1.9163,67424256,0.3000,9.91,0,0,1,2.48,0.00,1025486848,0,0
2.0170,67686400,0.3100,9.93,0,0,1,2.48,0.00,1025486848,0,0
2.1178,84463616,0.4600,148.84,0,0,1,13.64,0.00,1043304448,0,0
2.2187,194818048,0.9700,505.62,0,0,1,31.60,0.00,1140985856,0,0
2.3095,0,0.9700,0.00,0,0,0,22.01,0.00,1032941568,0,0
