size,phase,step,group,rep,prover,cmd,ok,returncode,scope,wall_s,cpu_user_s,cpu_sys_s,cpu_total_s,cpu_pct_of_core,cpu_pct_of_machine,rss_peak_bytes,rss_mean_bytes,io_read_bytes,io_write_bytes,io_rchar_bytes,io_wchar_bytes,io_read_mb_per_s,io_write_mb_per_s,sys_cpu_busy_s,sys_cpu_iowait_s,sys_mem_used_peak_bytes,sys_mem_used_delta_bytes,sys_read_bytes,sys_write_bytes,n_samples,samples_file,log_file
1,env,ptau_new,ptau,1,,snarkjs powersoftau new bn128 8 pot8_0000.ptau -v,True,0,process,2.5411071720009204,1.062457,0.6277360000000001,1.690193,66.51403839331606,4.1571273995822535,300290048.0,78243328.0,0.0,0.0,4170521.0,108381.0,0.0,0.0,2.7300000000104774,0.0,1284825088.0,27402240.0,0.0,53248.0,27,raw/samples/n1_ptau_new_r1.csv,logs/n1_ptau_new_r1.log
1,env,ptau_contribute_1,ptau,1,,"snarkjs powersoftau contribute pot8_0000.ptau pot8_0001.ptau --name=""First contribution"" -v -e=""some random text""",True,0,process,2.6517917849996593,1.6572820000000001,0.5671439999999999,2.2244260000000002,83.88388607970163,5.242742879981352,254484480.0,85579303.38461539,0.0,0.0,4407123.0,139694.0,0.0,0.0,2.75,0.0,1280892928.0,24080384.0,0.0,0.0,28,raw/samples/n1_ptau_contribute_1_r1.csv,logs/n1_ptau_contribute_1_r1.log
1,env,ptau_contribute_2,ptau,1,,"snarkjs powersoftau contribute pot8_0001.ptau pot8_0002.ptau --name=""Second contribution"" -v -e=""some random text""",True,0,process,2.4990227819998836,1.5608820000000003,0.4544490000000001,2.0153310000000006,80.6447630056097,5.0402976878506065,219041792.0,74723328.0,0.0,0.0,4270724.0,43650.0,0.0,0.0,2.5399999999790452,0.0,1240285184.0,-1011712.0,0.0,0.0,26,raw/samples/n1_ptau_contribute_2_r1.csv,logs/n1_ptau_contribute_2_r1.log
1,env,ptau_export_challenge,ptau,1,,snarkjs powersoftau export challenge pot8_0002.ptau challenge_0003,True,0,process,2.367621909999798,0.9324189999999994,0.424895,1.3573139999999995,57.328156757939254,3.5830097973712034,214532096.0,71569229.91304348,0.0,0.0,4303765.0,2422.0,0.0,0.0,1.9100000000034925,0.0,1232015360.0,-4182016.0,0.0,0.0,25,raw/samples/n1_ptau_export_challenge_r1.csv,logs/n1_ptau_export_challenge_r1.log
1,env,ptau_challenge_contribute,ptau,1,,"snarkjs powersoftau challenge contribute bn128 challenge_0003 response_0003 -e=""some random text""",True,0,process,2.4826662550003675,1.7352020000000001,0.44677500000000014,2.1819770000000003,87.88845442295172,5.493028401434483,218759168.0,78025557.33333333,0.0,0.0,4405142.0,36878.0,0.0,0.0,3.209999999991851,0.0,1238499328.0,16928768.0,0.0,0.0,26,raw/samples/n1_ptau_challenge_contribute_r1.csv,logs/n1_ptau_challenge_contribute_r1.log
1,env,ptau_import_response,ptau,1,,"snarkjs powersoftau import response pot8_0002.ptau response_0003 pot8_0003.ptau -n=""Third contribution""",True,0,process,2.4174605690004682,1.1418840000000001,0.4193979999999997,1.5612819999999998,64.58355598517717,4.036472249073573,206782464.0,70175699.47826087,0.0,0.0,4170310.0,1148.0,0.0,0.0,2.0,0.0,1225719808.0,24088576.0,0.0,0.0,25,raw/samples/n1_ptau_import_response_r1.csv,logs/n1_ptau_import_response_r1.log
1,env,ptau_verify,ptau,1,,snarkjs powersoftau verify pot8_0003.ptau,True,0,process,2.589883729000576,1.1591349999999991,0.5309590000000002,1.6900939999999993,65.25752415349545,4.078595259593466,259018752.0,86498508.8,0.0,0.0,4361129.0,5975.0,0.0,0.0,2.430000000022119,0.0,1286430720.0,-17293312.0,0.0,0.0,27,raw/samples/n1_ptau_verify_r1.csv,logs/n1_ptau_verify_r1.log
1,env,ptau_beacon,ptau,1,,"snarkjs powersoftau beacon pot8_0003.ptau pot8_beacon.ptau 0102030405060708090a0b0c0d0e0f101112131015161718191a1b1c1d1e1f 10 -n=""Final Beacon""",True,0,process,2.409206370000902,1.505801,0.44174999999999986,1.9475509999999998,80.83786529251418,5.052366580782136,214028288.0,72683520.0,81920.0,0.0,4262475.0,1908.0,0.03242769111554804,0.0,2.6200000000044383,0.009999999999990905,1235451904.0,81920.0,81920.0,45056.0,25,raw/samples/n1_ptau_beacon_r1.csv,logs/n1_ptau_beacon_r1.log
1,env,ptau_prepare_phase2,ptau,1,,snarkjs powersoftau prepare phase2 pot8_beacon.ptau pot8_final.ptau -v,True,0,process,3.122937723999712,4.696645,0.5147570000000004,5.2114020000000005,166.87498953150694,10.429686845719184,223232000.0,106361924.26666667,0.0,0.0,4422948.0,579240.0,0.0,0.0,6.239999999990687,0.0,1245515776.0,21565440.0,0.0,0.0,32,raw/samples/n1_ptau_prepare_phase2_r1.csv,logs/n1_ptau_prepare_phase2_r1.log
1,env,ptau_verify_final,ptau,1,,snarkjs powersoftau verify pot8_final.ptau,True,0,process,2.9326248050001595,2.1507980000000018,0.8232949999999999,2.9740930000000017,101.41403001601633,6.33837687600102,273362944.0,106713965.71428572,0.0,0.0,4786609.0,104030.0,0.0,0.0,3.459999999991851,0.0,1296998400.0,26095616.0,0.0,0.0,31,raw/samples/n1_ptau_verify_final_r1.csv,logs/n1_ptau_verify_final_r1.log
