n,mean_s,throughput_mean_tx_per_s
1,0.6520579722709954,1.5336059714402202
2,0.6622664229385555,3.019932659617198
4,0.6733838288858532,5.940148587497561
8,0.6922290605306626,11.556868175784476
16,0.7276037848368287,21.989990065249778
32,0.789576967433095,40.52803123681736
64,0.8966734357550741,71.37492586262093
128,1.1008735679462551,116.27129919995407
256,1.4353012647107244,178.3597675931785
512,2.0957942983321844,244.2987846695858
1024,3.4530524006299674,296.5492211508819
2048,6.385572730470448,320.72299329196056
4096,13.892541725188494,294.83445729542524
8192,28.842761534173043,284.0227344491296
