n,mean_s
1,0.5874917393364012
2,0.5899099835380912
4,0.590437820199877
8,0.5899309858307242
16,0.5886359108425677
32,0.585536270160228
64,0.5857784743234515
128,0.5905113849043846
256,0.5876117810234427
512,0.5879772157408297
1024,0.5854028869606555
2048,0.5852858665585517
4096,0.5875131833553314
8192,0.5835241286084056
