n,mean_s,throughput_mean_tx_per_s
1,0.19823003266006708,5.044644278068806
2,0.19886753488332032,10.056945700933243
4,0.20153506319969894,19.84766291529352
8,0.20532987229526042,38.9616956878839
16,0.2122520661726594,75.38206948235113
32,0.2251038859039545,142.15658637565014
64,0.2424635505862534,263.95720035136907
128,0.2767342584580183,462.53760092163697
256,0.3493327415920794,732.8256688258975
512,0.4845260491222143,1056.7027323454715
1024,0.7896947562135757,1296.7035578529988
2048,1.3411141792126,1527.08846997832
4096,2.436583052221686,1681.0426372559932
8192,4.6725692233070735,1753.2110512430252
