,mean_before_usd,mean_after_usd,reduction_pct,l1_over_l2_before,l1_over_l2_after
Agrégat L2,0.4035,0.0814,79.8262,17.475,54.1812
Ethereum L1,7.0516,4.4107,37.4513,17.475,54.1812
