size,phase,step,group,rep,prover,cmd,ok,returncode,scope,wall_s,cpu_user_s,cpu_sys_s,cpu_total_s,cpu_pct_of_core,cpu_pct_of_machine,rss_peak_bytes,rss_mean_bytes,io_read_bytes,io_write_bytes,io_rchar_bytes,io_wchar_bytes,io_read_mb_per_s,io_write_mb_per_s,sys_cpu_busy_s,sys_cpu_iowait_s,sys_mem_used_peak_bytes,sys_mem_used_delta_bytes,sys_read_bytes,sys_write_bytes,n_samples,samples_file,log_file
16,env,ptau_beacon,ptau,1,,"snarkjs powersoftau beacon pot12_0003.ptau pot12_beacon.ptau 0102030405060708090a0b0c0d0e0f101112131015161718191a1b1c1d1e1f 10 -n=""Final Beacon""",True,0,process,3.1403561419999733,10.884126000000037,0.39128100000000643,11.275407000000044,359.0486712382617,22.440541952391357,232570880.0,107311104.0,0.0,0.0,5875475.0,1340748.0,0.0,0.0,12.030000000000655,0.0,1185558528.0,30998528.0,0.0,0.0,33,raw/samples/n16_ptau_beacon_r1.csv,logs/n16_ptau_beacon_r1.log
16,env,ptau_prepare_phase2,ptau,1,,snarkjs powersoftau prepare phase2 pot12_beacon.ptau pot12_final.ptau -v,True,0,process,13.270235428999968,107.37538,0.5859569999999934,107.961337,813.5600726726207,50.84750454203879,277786624.0,218120822.15384614,0.0,0.0,7453428.0,5009892.0,0.0,0.0,108.93999999999869,0.0,1236525056.0,22487040.0,0.0,0.0,133,raw/samples/n16_ptau_prepare_phase2_r1.csv,logs/n16_ptau_prepare_phase2_r1.log
16,env,ptau_verify_final,ptau,1,,snarkjs powersoftau verify pot12_final.ptau,True,0,process,3.5345255910000333,5.768951999999956,1.092244000000008,6.861195999999964,194.11929050593483,12.132455656620927,479166464.0,161596717.17647058,0.0,0.0,11641363.0,166262.0,0.0,0.0,7.930000000000291,0.0,1429966848.0,-25001984.0,0.0,0.0,36,raw/samples/n16_ptau_verify_final_r1.csv,logs/n16_ptau_verify_final_r1.log
16,env,circom_compile,compile,1,,circom --r1cs --wasm --sym --inspect circuit.circom,True,0,process,0.15428858300003867,0.027332000000001244,0.02733100000000377,0.05466300000000501,35.42906347126885,2.214316466954303,11223040.0,11223040.0,0.0,0.0,30419.0,8487.0,0.0,0.0,0.11000000000058208,0.0,1015541760.0,-15888384.0,0.0,0.0,3,raw/samples/n16_circom_compile_r1.csv,logs/n16_circom_compile_r1.log
16,env,r1cs_info,compile,1,,snarkjs r1cs info circuit.r1cs,True,0,process,2.3788315539999303,0.9374850000000379,0.42674900000000093,1.3642340000000388,57.34891138912809,3.5843069618205057,216952832.0,71036928.0,0.0,0.0,4536652.0,2076.0,0.0,0.0,2.2399999999997817,0.0,1167736832.0,30736384.0,0.0,0.0,25,raw/samples/n16_r1cs_info_r1.csv,logs/n16_r1cs_info_r1.log
16,env,r1cs_export_json,compile,1,,snarkjs r1cs export json circuit.r1cs circuit.r1cs.json,True,0,process,3.264659316999996,0.7633589999999799,0.34031399999999223,1.1036729999999721,33.806682193539686,2.1129176370962304,137629696.0,87395200.0,0.0,0.0,3635507.0,573304.0,0.0,0.0,1.7999999999992724,0.0,1101197312.0,-585728.0,0.0,0.0,34,raw/samples/n16_r1cs_export_json_r1.csv,logs/n16_r1cs_export_json_r1.log
16,env,zkey_setup,zkey,1,,snarkjs groth16 setup circuit.r1cs pot12_final.ptau circuit_0000.zkey,True,0,process,3.318151553000007,1.9111450000000332,0.49268299999999954,2.4038280000000327,72.4447922767929,4.527799517299556,278601728.0,122154368.0,0.0,0.0,9375509.0,4880890.0,0.0,0.0,3.5799999999999272,0.0,1241018368.0,15835136.0,0.0,0.0,34,raw/samples/n16_zkey_setup_r1.csv,logs/n16_zkey_setup_r1.log
16,env,zkey_contribute_1,zkey,1,,"snarkjs zkey contribute circuit_0000.zkey circuit_0001.zkey --name=""1st Contributor"" -v -e=""some random text""",True,0,process,2.5693198330000087,3.1334249999999884,0.4177580000000063,3.5511829999999946,138.2149063105754,8.638431644410963,218284032.0,83713228.8,0.0,0.0,5698720.0,1418216.0,0.0,0.0,4.100000000000364,0.0,1172533248.0,1363968.0,0.0,0.0,27,raw/samples/n16_zkey_contribute_1_r1.csv,logs/n16_zkey_contribute_1_r1.log
16,env,zkey_contribute_2,zkey,1,,"snarkjs zkey contribute circuit_0001.zkey circuit_0002.zkey --name=""2nd Contributor"" -v -e=""some random text""",True,0,process,2.5389033280000604,2.987603999999976,0.4343629999999905,3.4219669999999667,134.7813034967153,8.423831468544707,215502848.0,79329525.76,0.0,0.0,5669294.0,1700773.0,0.0,0.0,4.209999999999127,0.0,1167880192.0,16175104.0,0.0,0.0,27,raw/samples/n16_zkey_contribute_2_r1.csv,logs/n16_zkey_contribute_2_r1.log
16,env,zkey_export_bellman,zkey,1,,snarkjs zkey export bellman circuit_0002.zkey challenge_phase2_0003,True,0,process,3.059308213999998,8.920681000000002,0.4368639999999999,9.357545000000002,305.87127368135157,19.116954605084473,227602432.0,106588023.46666667,0.0,0.0,5356988.0,1105116.0,0.0,0.0,9.960000000000946,0.0,1174626304.0,778240.0,0.0,0.0,32,raw/samples/n16_zkey_export_bellman_r1.csv,logs/n16_zkey_export_bellman_r1.log
