n,phase,prover,n_reps,ok,wall_s_mean,wall_s_min,wall_s_max,wall_s_stdev,cpu_total_s_mean,cpu_total_s_min,cpu_total_s_max,cpu_total_s_stdev,cpu_user_s_mean,cpu_user_s_min,cpu_user_s_max,cpu_user_s_stdev,cpu_sys_s_mean,cpu_sys_s_min,cpu_sys_s_max,cpu_sys_s_stdev,rss_peak_bytes_mean,rss_peak_bytes_min,rss_peak_bytes_max,rss_peak_bytes_stdev,io_read_bytes_mean,io_read_bytes_min,io_read_bytes_max,io_read_bytes_stdev,io_write_bytes_mean,io_write_bytes_min,io_write_bytes_max,io_write_bytes_stdev,io_rchar_bytes_mean,io_rchar_bytes_min,io_rchar_bytes_max,io_rchar_bytes_stdev,io_wchar_bytes_mean,io_wchar_bytes_min,io_wchar_bytes_max,io_wchar_bytes_stdev,sys_cpu_iowait_s_mean,sys_cpu_iowait_s_min,sys_cpu_iowait_s_max,sys_cpu_iowait_s_stdev,cpu_pct_of_core
1,env,,1,True,60.787467586000005,60.787467586000005,60.787467586000005,0.0,41.45360900000001,41.45360900000001,41.45360900000001,0.0,30.781945999999998,30.781945999999998,30.781945999999998,0.0,10.671663,10.671663,10.671663,0.0,299499520.0,299499520.0,299499520.0,0.0,52740096.0,52740096.0,52740096.0,0.0,0.0,0.0,0.0,0.0,99422075.0,99422075.0,99422075.0,0.0,1822605.0,1822605.0,1822605.0,0.0,0.16000000000000014,0.16000000000000014,0.16000000000000014,0.0,68.19433453343467
1,prove,rapidsnark,5,True,2.2455905933999873,2.2212815379999995,2.298342797999993,0.02798945233368449,0.6180352000000408,0.4906510000003408,0.8041590000000465,0.11240483263700174,0.18662379999999956,0.1596879999999956,0.2088629999999938,0.01759571388037481,0.1996483999999999,0.17799300000000073,0.2158320000000007,0.014287283781041354,67207987.2,67039232.0,67301376.0,97667.0565183573,22937.6,0.0,114688.0,45875.2,0.0,0.0,0.0,0.0,3065197.6,3063566.0,3069585.0,2314.369253165968,1152.8,1148.0,1156.0,3.919183588453085,0.003999999999999915,0.0,0.010000000000001563,0.004898979485566252,27.522167300509153
1,prove,snarkjs,5,True,3.0778100999999993,3.04652454699999,3.1092628100000184,0.02068404766895846,1.5099232000000007,1.4764050000000033,1.5508190000000024,0.025309512949876708,1.0430304000000006,1.0076440000000026,1.1044940000000025,0.032900949983853615,0.4668928000000001,0.44632499999999986,0.48449399999999976,0.013064178893447279,218552729.6,218087424.0,219234304.0,412234.2682900586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4522643.0,4503019.0,4555045.0,17302.435909431944,11431.6,11084.0,12286.0,457.2271208054045,0.0,0.0,0.0,0.0,49.05836133294907
1,verify,rapidsnark,5,True,2.306330831999992,2.280804842000009,2.334941910999987,0.018133017317034286,1.288297,1.2667389999999976,1.3248770000000007,0.019950882777462414,0.8737268,0.8457340000000002,0.9236059999999995,0.028461593387581058,0.4145702,0.39966599999999985,0.4294899999999977,0.012239075919365166,187036467.2,141426688.0,210006016.0,24544192.189708866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4182331.0,4125035.0,4232988.0,39241.92998821541,1917.6,548.0,6116.0,2116.9360500496937,0.0,0.0,0.0,0.0,55.859158717607805
1,verify,snarkjs,5,True,2.321303646800004,2.287610698000009,2.365006352000023,0.02909237157401115,1.2979771999999994,1.2691609999999987,1.3259869999999996,0.020559105188698395,0.8937439999999995,0.8358080000000001,0.9382260000000002,0.03849224841964815,0.40423319999999985,0.38525900000000135,0.43335299999999854,0.020569783901635656,195574988.8,161955840.0,216150016.0,19797770.88675824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4173844.0,4089790.0,4249193.0,66611.93280186366,2608.8,572.0,5892.0,2152.5774689892114,0.0,0.0,0.0,0.0,55.915873039242626
2,env,,1,True,59.66528108699998,59.66528108699998,59.66528108699998,0.0,50.47871500000001,50.47871500000001,50.47871500000001,0.0,40.396018000000005,40.396018000000005,40.396018000000005,0.0,10.082697,10.082697,10.082697,0.0,301629440.0,301629440.0,301629440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103185273.0,103185273.0,103185273.0,0.0,3255591.0,3255591.0,3255591.0,0.0,0.0,0.0,0.0,0.0,84.60316297914574
2,prove,rapidsnark,5,True,2.177763932400012,2.1571066089999817,2.1968537680000395,0.0138606864351064,0.5134383999999457,0.4513330000001474,0.5639420000000328,0.042491182509247306,0.1713610000000017,0.14149799999999857,0.2298060000000106,0.03224897631243946,0.20375099999999974,0.14870599999999712,0.23792100000000005,0.031096181444030223,67674112.0,67117056.0,68304896.0,431897.9027205388,11468.8,0.0,57344.0,22937.6,0.0,0.0,0.0,0.0,3082579.8,3066701.0,3120778.0,19432.056992505964,1220.0,1148.0,1380.0,92.05215912731217,0.019999999999999574,0.0,0.08999999999999986,0.03521363372331807,23.576402949887648
2,prove,snarkjs,5,True,3.089339690599991,3.0482384640000078,3.13942340899996,0.03835291419650531,1.5759456000000007,1.545329000000006,1.6377389999999927,0.03270098959725377,1.0587794000000001,1.0071270000000112,1.1396319999999918,0.045066964222582474,0.5171662000000005,0.48643399999999914,0.5504860000000029,0.027117439056076657,228080844.8,227254272.0,229269504.0,686342.9494911126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4584289.8,4541606.0,4633016.0,36294.92795639633,10885.6,10428.0,11582.0,547.6574111613938,0.0,0.0,0.0,0.0,51.01237668344367
2,verify,rapidsnark,5,True,2.2988343210000153,2.2770808310000348,2.3336181960000317,0.02131929292971687,1.3251357999999982,1.264895000000017,1.360837999999994,0.03365239881731089,0.8849879999999984,0.832665999999989,0.9463739999999916,0.03835461539371985,0.44014779999999976,0.36220200000000347,0.528172000000005,0.05567068028468997,193715404.8,147636224.0,212639744.0,25238437.959133416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4175532.8,4122092.0,4275918.0,55153.12629905942,2068.0,556.0,6148.0,2058.47322061765,0.0020000000000003127,0.0,0.010000000000001563,0.0040000000000006255,57.643814862810615
2,verify,snarkjs,5,True,2.3148075747999997,2.293742494000014,2.335457009000038,0.01373468165411972,1.3211379999999984,1.278066999999993,1.3677920000000086,0.03355969091037902,0.9022777999999988,0.8670089999999959,0.9527399999999915,0.036873879966177046,0.41886019999999957,0.3713120000000032,0.4693119999999986,0.03140393776837424,180877721.6,135094272.0,205299712.0,23886875.59491183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4149909.4,4054484.0,4225446.0,59609.79404628068,1735.2,484.0,6044.0,2159.0907715980816,0.0,0.0,0.0,0.0,57.073340107509594
4,env,,1,True,62.78725502200018,62.78725502200018,62.78725502200018,0.0,73.553912,73.553912,73.553912,0.0,62.82822100000001,62.82822100000001,62.82822100000001,0.0,10.725691000000005,10.725691000000005,10.725691000000005,0.0,329318400.0,329318400.0,329318400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109184047.0,109184047.0,109184047.0,0.0,8149078.0,8149078.0,8149078.0,0.0,0.0,0.0,0.0,0.0,117.1478383220086
4,prove,rapidsnark,5,True,2.24793707299998,2.183401549999928,2.3005560349999428,0.038088563270914866,0.5640707999998099,0.5275249999998479,0.6019569999995369,0.029079649573995517,0.1524118000000044,0.13429000000002134,0.1807009999999991,0.016788350310856567,0.23992140000000006,0.21145399999999626,0.2655770000000004,0.020437217017980888,67183411.2,66904064.0,67559424.0,221705.24655082027,13926.4,0.0,69632.0,27852.8,0.0,0.0,0.0,0.0,3076105.8,3061789.0,3126683.0,25378.295249287334,1205.6,1148.0,1412.0,103.24650115137074,0.011999999999999744,0.0,0.019999999999999574,0.007483314773547723,25.09281984691103
4,prove,snarkjs,5,True,3.2165896019999765,3.192189012999961,3.2419824909999875,0.02041927180937493,1.7389961999999997,1.6264279999999758,1.8825250000000153,0.08974309283594924,1.1733632,1.076535999999976,1.3618800000000135,0.0997076335681574,0.5656329999999997,0.5206450000000018,0.6311899999999966,0.03797870315321294,245900902.4,245092352.0,247050240.0,722707.1358146673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4752280.4,4725514.0,4796904.0,24423.015314248158,10058.4,10020.0,10100.0,26.484712571594958,0.0,0.0,0.0,0.0,54.063353276984586
4,verify,rapidsnark,5,True,2.383347803799984,2.3365088819999755,2.431177763999983,0.0342282983266778,1.3839191999999982,1.3034489999999934,1.4403740000000056,0.05116259581530612,0.9237079999999992,0.911578999999989,0.9375789999999995,0.009747550789816886,0.4602111999999991,0.3855689999999967,0.516695999999996,0.05074095265719796,188492185.6,131497984.0,216653824.0,32090928.729758542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195312.6,4132606.0,4253822.0,44645.45231756534,2853.6,444.0,6052.0,2440.602679667463,0.0,0.0,0.0,0.0,58.06618730986273
4,verify,snarkjs,5,True,2.415411545799998,2.3912958189999927,2.456946947000006,0.02329236754280151,1.3531557999999961,1.3339439999999954,1.3741799999999955,0.015664265337390692,0.940565799999996,0.9378749999999911,0.9427829999999915,0.0018588888509050159,0.4125900000000001,0.3960690000000042,0.431397000000004,0.013839500048773965,199737344.0,176635904.0,209244160.0,11807421.201588906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4154391.4,4066124.0,4239446.0,63085.52274365332,1855.2,612.0,5724.0,1943.0127534321539,0.0,0.0,0.0,0.0,56.0217492688942
8,env,,1,True,67.57496885099977,67.57496885099977,67.57496885099977,0.0,119.63295199999996,119.63295199999996,119.63295199999996,0.0,108.79282399999997,108.79282399999997,108.79282399999997,0.0,10.840128,10.840128,10.840128,0.0,384675840.0,384675840.0,384675840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122309914.0,122309914.0,122309914.0,0.0,14778375.0,14778375.0,14778375.0,0.0,0.010000000000001563,0.010000000000001563,0.010000000000001563,0.0,177.03737646374069
8,prove,rapidsnark,5,True,2.2434213040000714,2.2021348840000883,2.3295506310000746,0.045615337902462125,0.6531471999999979,0.5852109999998589,0.8224930000010744,0.08754152242587451,0.1688474000000042,0.1486370000000079,0.2124689999999987,0.022695172778364803,0.22635860000000035,0.17954999999999188,0.24208800000000963,0.023510652203633447,67226009.6,66973696.0,67784704.0,289823.18871035834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068433.0,3062715.0,3077081.0,4883.305274094586,1149.6,1148.0,1156.0,3.2,0.0259999999999998,0.019999999999999574,0.03999999999999915,0.008000000000000007,29.113889523801063
8,prove,snarkjs,5,True,3.1197103841999705,3.085760329999971,3.155947388999948,0.02425732684725698,1.6868566000000045,1.6093240000000293,1.7347040000000078,0.04586812207884499,1.140596400000004,1.0862670000000207,1.2642880000000218,0.06484610354555254,0.5462602000000004,0.46825300000000425,0.6170230000000032,0.05125748520323513,284727705.6,283521024.0,286044160.0,974020.187682699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5101895.6,5050709.0,5160207.0,38257.70877404971,10371.0,9988.0,11815.0,722.0952845712261,0.0,0.0,0.0,0.0,54.070935832480735
8,verify,rapidsnark,5,True,2.39588849940003,2.332720049000045,2.455825576000052,0.04002758966799816,1.3949536000000022,1.3152420000000404,1.478422999999978,0.06496834057783647,0.9771156000000019,0.9275939999999991,1.0400890000000231,0.041439450327431654,0.41783800000000043,0.37096800000000485,0.5009030000000081,0.0486311532415202,192012288.0,124944384.0,211656704.0,33670000.08037122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4196925.4,4170489.0,4227463.0,19779.073755866324,3146.4,1252.0,6148.0,2272.447279916522,0.0,0.0,0.0,0.0,58.2228096319725
8,verify,snarkjs,5,True,2.3350108782000008,2.3317541789999723,2.3403533880000396,0.003049903656761143,1.3000673999999974,1.2616079999999812,1.3400950000000051,0.028704928180367004,0.8831103999999982,0.8718579999999747,0.9004180000000019,0.01120755371346145,0.4169569999999993,0.3897500000000065,0.4481229999999954,0.022454822136898474,141278412.8,129236992.0,159006720.0,9976554.611223383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4223249.8,4191299.0,4259243.0,27275.170499192118,6071.2,5924.0,6140.0,76.833326102675,0.0,0.0,0.0,0.0,55.67714532457278
16,env,,1,True,77.5247582400001,77.5247582400001,77.5247582400001,0.0,216.29605899999996,216.29605899999996,216.29605899999996,0.0,204.92668399999997,204.92668399999997,204.92668399999997,0.0,11.369375000000005,11.369375000000005,11.369375000000005,0.0,479166464.0,479166464.0,479166464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146902318.0,146902318.0,146902318.0,0.0,26225559.0,26225559.0,26225559.0,0.0,0.0,0.0,0.0,0.0,279.00255855090006
