n,group,wall_s_sum,cpu_total_s_sum,cpu_user_s_sum,cpu_sys_s_sum,rss_peak_bytes_sum,io_read_bytes_sum,io_write_bytes_sum,io_rchar_bytes_sum,io_wchar_bytes_sum,sys_cpu_iowait_s_sum
1,compile,5.849937414999985,2.204741999999997,1.4431889999999967,0.7615530000000001,163651584.0,6012928.0,0.0,7440062.0,908.0,0.020000000000003126
1,ptau,27.71415681900001,22.911773,17.592697,5.319076,299499520.0,46727168.0,0.0,43571209.0,1213606.0,0.13999999999999702
1,zkey,27.22337335200001,16.337094,11.74606,4.5910340000000005,230916096.0,0.0,0.0,48410804.0,608091.0,0.0
2,compile,5.499066456000037,2.1423510000000014,1.4537320000000022,0.6886189999999992,212180992.0,0.0,0.0,7609221.0,75928.0,0.0
2,ptau,26.33501239200004,30.229940000000003,25.538654,4.691286000000002,301629440.0,0.0,0.0,45872948.0,2319775.0,0.0
2,zkey,27.831202238999907,18.106424,13.403632000000002,4.702791999999999,233222144.0,0.0,0.0,49703104.0,859888.0,0.0
4,compile,5.6665381920000755,2.25452700000001,1.491361000000012,0.7631659999999982,213606400.0,0.0,0.0,7696087.0,217270.0,0.0
4,ptau,28.488638972000103,49.003637999999995,43.83959899999999,5.1640390000000025,329318400.0,0.0,0.0,48508821.0,3708658.0,0.0
4,zkey,28.632077858000002,22.295747000000013,17.49726100000001,4.798486000000004,260239360.0,0.0,0.0,52979139.0,4223150.0,0.0
8,compile,5.537541111999985,2.2534259999999904,1.5465199999999868,0.7069060000000036,141938688.0,0.0,0.0,7897191.0,363128.0,0.0
8,ptau,32.83111957699998,88.67495799999998,83.26615899999999,5.408799000000002,384675840.0,0.0,0.0,54851684.0,7248474.0,0.010000000000001563
8,zkey,29.2063081619998,28.704567999999988,23.980144999999993,4.7244229999999945,281714688.0,0.0,0.0,59561039.0,7166773.0,0.0
16,compile,5.797779453999965,2.522570000000016,1.728176000000019,0.7943939999999969,216952832.0,0.0,0.0,8202578.0,583867.0,0.0
16,ptau,39.79103025899997,169.37294599999996,163.96140599999995,5.411540000000002,479166464.0,0.0,0.0,66636062.0,14512365.0,0.0
16,zkey,31.935948527000164,44.400543,39.23710199999999,5.163441000000006,355835904.0,0.0,0.0,72063678.0,11129327.0,0.0
32,compile,6.159905870000102,2.7361909999999625,2.0463909999999714,0.6897999999999911,202973184.0,0.0,0.0,9046999.0,1009721.0,0.0
32,ptau,56.16059279300009,350.09190099999995,343.46561999999994,6.626281000000006,635215872.0,0.0,0.0,93585101.0,30122683.0,0.00999999999999801
32,zkey,36.80149431700022,77.91176100000008,72.15207400000008,5.759687,427864064.0,0.0,0.0,96382131.0,31757664.0,0.0
64,compile,6.9091581520001455,3.326934000000122,2.3933710000001156,0.9335630000000066,249118720.0,0.0,0.0,10609496.0,4538642.0,0.0
64,ptau,88.6944120060001,735.014964,727.3425409999999,7.672422999999995,880791552.0,0.0,0.0,154236904.0,58326222.0,0.00999999999999801
64,zkey,46.98016311299989,146.159789,139.61951399999998,6.540274999999994,572526592.0,0.0,0.0,260774289.0,62291836.0,0.0
128,compile,8.11338561499997,3.931491000000051,2.9920600000000377,0.9394310000000132,259534848.0,0.0,0.0,13754896.0,9673861.0,0.0
128,ptau,156.85149717599984,1539.3852269999998,1529.7764889999999,9.608737999999988,1023496192.0,0.0,0.0,272771836.0,118753916.0,0.010000000000001563
128,zkey,62.101734885000724,286.80004199999996,278.588264,8.211777999999981,824377344.0,0.0,0.0,474732898.0,145898205.0,0.0
