n,group,wall_s_sum,cpu_total_s_sum,cpu_user_s_sum,cpu_sys_s_sum,rss_peak_bytes_sum,io_read_bytes_sum,io_write_bytes_sum,io_rchar_bytes_sum,io_wchar_bytes_sum,sys_cpu_iowait_s_sum
1,compile,2.2225929360000123,2.9534220000000047,2.707474000000005,0.24594799999999983,177000448.0,8126464.0,0.0,4645478.0,339701.0,0.08000000000000185
1,ptau,17.040728066,42.375776,38.702842,3.672934,243703808.0,56881152.0,0.0,23301170.0,1516749.0,0.4800000000000004
1,zkey,17.703958224999994,40.568706,34.178763,6.389943,208039936.0,81920.0,0.0,25864612.0,1180926.0,0.00999999999999801
2,compile,1.878250162000029,2.7061009999999897,2.4394749999999874,0.26662600000000225,177512448.0,0.0,0.0,4700013.0,445067.0,0.0
2,ptau,16.895088913000023,54.395100000000006,51.35407000000001,3.0410299999999992,244400128.0,0.0,0.0,25566783.0,2529313.0,0.0
2,zkey,12.257620363000058,27.82581699999999,25.028640999999993,2.7971759999999968,215023616.0,0.0,0.0,27725028.0,2476760.0,0.0
4,compile,3.0289365839999505,4.672401999999998,4.015602999999999,0.6567989999999995,178851840.0,0.0,0.0,4807454.0,561219.0,0.0
4,ptau,34.944085084999955,140.440473,133.378897,7.061575999999999,253026304.0,0.0,0.0,29329280.0,4488673.0,0.0
4,zkey,17.10841321800001,42.95374900000003,39.29103200000003,3.6627170000000007,235417600.0,0.0,0.0,31161028.0,4833348.0,0.0
8,compile,2.518614882999941,4.0245069999999785,3.5677779999999757,0.4567290000000028,189313024.0,0.0,0.0,5016276.0,931749.0,0.0
8,ptau,73.36465987099996,354.343348,343.35771,10.985638000000002,295485440.0,0.0,0.0,36499280.0,8294985.0,0.0
8,zkey,20.12870803499999,54.97016700000002,51.564790000000016,3.4053770000000014,267264000.0,0.0,0.0,37997965.0,8723873.0,0.0
